#depth	accumulation rate in meters of ice equivalent (from Lucie)	Uncertainty %
379	0.07593	0.2
380	0.07593	0.2
381	0.07583	0.2
382	0.06989	0.2
383	0.06989	0.2
384	0.06989	0.2
385	0.06989	0.2
386	0.07007	0.2
387	0.07878	0.2
388	0.07878	0.2
389	0.07878	0.2
390	0.07878	0.2
391	0.07878	0.2
392	0.07869	0.2
393	0.07778	0.2
394	0.07778	0.2
395	0.07778	0.2
396	0.07778	0.2
397	0.07771	0.2
398	0.07149	0.2
399	0.07149	0.2
400	0.07149	0.2
401	0.07149	0.2
402	0.07157	0.2
403	0.07981	0.2
404	0.07981	0.2
405	0.07981	0.2
406	0.07981	0.2
407	0.07981	0.2
408	0.07914	0.2
409	0.07287	0.2
410	0.07287	0.2
411	0.07287	0.2
412	0.07287	0.2
413	0.07305	0.2
414	0.07488	0.2
415	0.07488	0.2
416	0.07488	0.2
417	0.07488	0.2
418	0.07507	0.2
419	0.07789	0.2
420	0.07789	0.2
421	0.07789	0.2
422	0.07789	0.2
423	0.07789	0.2
424	0.0772	0.2
425	0.07368	0.2
426	0.07368	0.2
427	0.07368	0.2
428	0.07368	0.2
429	0.07404	0.2
430	0.07592	0.2
431	0.07592	0.2
432	0.07592	0.2
433	0.07592	0.2
434	0.07631	0.2
435	0.07868	0.2
436	0.07868	0.2
437	0.07868	0.2
438	0.07868	0.2
439	0.07831	0.2
440	0.07533	0.2
441	0.07533	0.2
442	0.07533	0.2
443	0.07533	0.2
444	0.07531	0.2
445	0.07521	0.2
446	0.07521	0.2
447	0.07521	0.2
448	0.07521	0.2
449	0.07559	0.2
450	0.07884	0.2
451	0.07884	0.2
452	0.07884	0.2
453	0.07884	0.2
454	0.07877	0.2
455	0.07796	0.2
456	0.07796	0.2
457	0.07796	0.2
458	0.07796	0.2
459	0.07748	0.2
460	0.07022	0.2
461	0.07022	0.2
462	0.07022	0.2
463	0.07022	0.2
464	0.07052	0.2
465	0.07242	0.2
466	0.07242	0.2
467	0.07242	0.2
468	0.07242	0.2
469	0.07204	0.2
470	0.07029	0.2
471	0.07029	0.2
472	0.07029	0.2
473	0.07046	0.2
474	0.07195	0.2
475	0.07195	0.2
476	0.07195	0.2
477	0.07195	0.2
478	0.0721	0.2
479	0.07289	0.2
480	0.07289	0.2
481	0.07289	0.2
482	0.07289	0.2
483	0.07288	0.2
484	0.07288	0.2
485	0.07288	0.2
486	0.07288	0.2
487	0.073	0.2
488	0.07374	0.2
489	0.07374	0.2
490	0.07374	0.2
491	0.07369	0.2
492	0.07204	0.2
493	0.07204	0.2
494	0.07204	0.2
495	0.07204	0.2
496	0.07196	0.2
497	0.07148	0.2
498	0.07148	0.2
499	0.07148	0.2
500	0.07127	0.2
501	0.0685	0.2
502	0.0685	0.2
503	0.0685	0.2
504	0.06855	0.2
505	0.06992	0.2
506	0.06992	0.2
507	0.06992	0.2
508	0.06992	0.2
509	0.06986	0.2
510	0.06957	0.2
511	0.06957	0.2
512	0.06957	0.2
513	0.0699	0.2
514	0.07167	0.2
515	0.07167	0.2
516	0.07167	0.2
517	0.07105	0.2
518	0.06653	0.2
519	0.06653	0.2
520	0.06653	0.2
521	0.06717	0.2
522	0.07144	0.2
523	0.07144	0.2
524	0.07144	0.2
525	0.07147	0.2
526	0.07179	0.2
527	0.07179	0.2
528	0.07179	0.2
529	0.07176	0.2
530	0.0714	0.2
531	0.0714	0.2
532	0.0714	0.2
533	0.07141	0.2
534	0.07161	0.2
535	0.07161	0.2
536	0.07161	0.2
537	0.07163	0.2
538	0.07319	0.2
539	0.07319	0.2
540	0.07319	0.2
541	0.07319	0.2
