#depth	LID from barometric equation (Ilaria)	uncertainty
129	62.6300162834093	0.2
130	62.6317104638551	0.2
131	62.6549436034056	0.2
132	62.6493864603482	0.2
133	62.688670264659	0.2
134	62.698043134304	0.2
135	62.7314799891925	0.2
136	62.7290860704459	0.2
137	62.7063086007071	0.2
138	62.6859994973459	0.2
139	62.6686230938988	0.2
140	62.6490703161595	0.2
141	62.6555460097254	0.2
142	62.6563901295496	0.2
143	62.6637924197746	0.2
144	62.6596319407451	0.2
145	62.6391646224106	0.2
146	62.6351178514852	0.2
147	62.6316993390729	0.2
148	62.6631209274299	0.2
149	62.6363641906704	0.2
150	62.6468532267242	0.2
151	62.6512965058307	0.2
152	62.6666425842445	0.2
153	62.6463203612802	0.2
154	62.6434093999893	0.2
155	62.6825361667802	0.2
156	62.6805577486689	0.2
157	62.7032402124675	0.2
158	62.6496907128307	0.2
159	62.6328898674143	0.2
160	62.609432221545	0.2
161	62.593416965917	0.2
162	62.6052548537668	0.2
163	62.6532034192545	0.2
164	62.6916084632204	0.2
165	62.6998342156986	0.2
166	62.701092199489	0.2
167	62.6961764468887	0.2
168	62.6742137517428	0.2
169	62.6900851000186	0.2
170	62.7287618715861	0.2
171	62.7182371247295	0.2
172	62.7194362221601	0.2
173	62.6900009653154	0.2
174	62.7142347838718	0.2
175	62.724713413462	0.2
176	62.7223759929725	0.2
177	62.7054021786289	0.2
178	62.7196461674058	0.2
179	62.7119834668549	0.2
180	62.6926783067478	0.2
181	62.6817102125801	0.2
182	62.66369220538	0.2
183	62.6617558994367	0.2
184	62.6737380664561	0.2
185	62.6746429983171	0.2
186	62.6809447627454	0.2
187	62.6506308792895	0.2
188	62.6272708949093	0.2
189	62.5963065911614	0.2
190	62.5817238471791	0.2
191	62.5622725852571	0.2
192	62.5844389591158	0.2
193	62.5912074265856	0.2
194	62.5666916642018	0.2
195	62.5556863914783	0.2
196	62.5744438842473	0.2
197	62.5372351980209	0.2
198	62.5408811609608	0.2
199	62.5540683456748	0.2
200	62.5743387348362	0.2
201	62.5756348273704	0.2
202	62.5909480083371	0.2
203	62.5566987476664	0.2
204	62.5817184013103	0.2
205	62.5928884697273	0.2
206	62.5837707689644	0.2
207	62.5686396322889	0.2
208	62.5753257654737	0.2
209	62.5705227733268	0.2
210	62.5663590692465	0.2
211	62.5710760521221	0.2
212	62.597889913506	0.2
213	62.6134241468756	0.2
214	62.6248741876706	0.2
215	62.6272987511211	0.2
216	62.6646029197848	0.2
217	62.6175611655827	0.2
218	62.596195414458	0.2
219	62.5910090751474	0.2
220	62.5779906066911	0.2
221	62.5496982074446	0.2
222	62.5376612799217	0.2
223	62.5376956048475	0.2
224	62.5230413860329	0.2
225	62.4931710373122	0.2
226	62.482534460817	0.2
227	62.4811464802991	0.2
228	62.5251295860687	0.2
229	62.5045471371285	0.2
230	62.4794974279883	0.2
231	62.4707400867673	0.2
232	62.4502201475814	0.2
233	62.4256584717116	0.2
234	62.4237834705961	0.2
235	62.4448039976631	0.2
236	62.4214129384876	0.2
