	#Depth	Thinning	uncertainty %
8.050000000000000000e+01	9.579800000000000537e-01	0.0114285714285714	
8.150000000000000000e+01	9.575200000000000378e-01	0.0115714285714286	
8.250000000000000000e+01	9.570600000000000218e-01	0.0117142857142857	
8.350000000000000000e+01	9.566000000000000059e-01	0.0118571428571428	
8.450000000000000000e+01	9.561399999999999899e-01	0.012	
8.550000000000000000e+01	9.556799999999999740e-01	0.0121428571428571	
8.650000000000000000e+01	9.552199999999999580e-01	0.0122857142857143	
8.750000000000000000e+01	9.547600000000000531e-01	0.0124285714285714	
8.850000000000000000e+01	9.543000000000000371e-01	0.0125714285714286	
8.950000000000000000e+01	9.538400000000000212e-01	0.0127142857142857	
9.050000000000000000e+01	9.533800000000000052e-01	0.0128571428571428	
9.150000000000000000e+01	9.529199999999999893e-01	0.013	
9.250000000000000000e+01	9.524599999999999733e-01	0.0131428571428571	
9.350000000000000000e+01	9.520100000000000229e-01	0.0132857142857143	
9.450000000000000000e+01	9.515500000000000069e-01	0.0134285714285714	
9.550000000000000000e+01	9.510899999999999910e-01	0.0135714285714285	
9.650000000000000000e+01	9.506299999999999750e-01	0.0137142857142857	
9.750000000000000000e+01	9.501699999999999591e-01	0.0138571428571428	
9.850000000000000000e+01	9.497100000000000541e-01	0.014	
9.950000000000000000e+01	9.492500000000000382e-01	0.0141428571428571	
1.005000000000000000e+02	9.487900000000000222e-01	0.0142857142857143	
1.015000000000000000e+02	9.482800000000000118e-01	0.0144285714285714	
1.025000000000000000e+02	9.477799999999999558e-01	0.0145714285714285	
1.035000000000000000e+02	9.472699999999999454e-01	0.0147142857142857	
1.045000000000000000e+02	9.467700000000000005e-01	0.0148571428571428	
1.055000000000000000e+02	9.462599999999999900e-01	0.015	
1.065000000000000000e+02	9.457600000000000451e-01	0.0151428571428571	
1.075000000000000000e+02	9.452500000000000346e-01	0.0152857142857143	
1.085000000000000000e+02	9.447499999999999787e-01	0.0154285714285714	
1.095000000000000000e+02	9.442399999999999682e-01	0.0155714285714285	
1.105000000000000000e+02	9.437400000000000233e-01	0.0157142857142857	
1.115000000000000000e+02	9.432300000000000129e-01	0.0158571428571428	
1.125000000000000000e+02	9.427299999999999569e-01	0.016	
1.135000000000000000e+02	9.422199999999999465e-01	0.0161428571428571	
1.145000000000000000e+02	9.417200000000000015e-01	0.0162857142857143	
1.155000000000000000e+02	9.412099999999999911e-01	0.0164285714285714	
1.165000000000000000e+02	9.407100000000000461e-01	0.0165714285714285	
1.175000000000000000e+02	9.402000000000000357e-01	0.0167142857142857	
1.185000000000000000e+02	9.396999999999999797e-01	0.0168571428571428	
1.195000000000000000e+02	9.391899999999999693e-01	0.017	
1.205000000000000000e+02	9.386900000000000244e-01	0.0171428571428571	
1.215000000000000000e+02	9.381800000000000139e-01	0.0172857142857143	
1.225000000000000000e+02	9.376799999999999580e-01	0.0174285714285714	
1.235000000000000000e+02	9.371699999999999475e-01	0.0175714285714285	
1.245000000000000000e+02	9.366700000000000026e-01	0.0177142857142857	
1.255000000000000000e+02	9.361599999999999921e-01	0.0178571428571428	
1.265000000000000000e+02	9.356600000000000472e-01	0.018	
