#Depth	Thinning	uncertainty %
4.867500000000000426e+01	9.905960000000000321e-01	0.00742615983999999
4.922500000000000853e+01	9.906120000000000481e-01	0.00751054801999999
4.977500000000000568e+01	9.904579999999999496e-01	0.00759493619999999
5.032500000000000284e+01	9.903030000000000443e-01	0.00767932437999999
5.087500000000000000e+01	9.901469999999999994e-01	0.00776371255999999
5.142500000000000426e+01	9.899909999999999544e-01	0.00784810073999999
5.197500000000000853e+01	9.898350000000000204e-01	0.00793248891999999
5.252500000000000568e+01	9.896779999999999466e-01	0.00801687709999999
5.307500000000000284e+01	9.896989999999999954e-01	0.00810126527999999
5.362500000000000000e+01	9.895420000000000327e-01	0.00818565345999999
5.417500000000000426e+01	9.893859999999999877e-01	0.00827004163999999
5.472500000000000853e+01	9.892269999999999675e-01	0.00835442981999999
