#Depth	LID [m]	uncertainty %
		
1.880000000000000000e+02	89.8208	0.2
1.890000000000000000e+02	89.8696	0.2
1.900000000000000000e+02	89.9423	0.2
1.910000000000000000e+02	90.018	0.2
1.920000000000000000e+02	89.9016	0.2
1.930000000000000000e+02	89.6761	0.2
1.940000000000000000e+02	89.4036	0.2
1.950000000000000000e+02	89.3643	0.2
1.960000000000000000e+02	89.4976	0.2
1.970000000000000000e+02	89.6365	0.2
1.980000000000000000e+02	89.595	0.2
1.990000000000000000e+02	89.3732	0.2
2.000000000000000000e+02	89.1148	0.2
2.010000000000000000e+02	89.0559	0.2
2.020000000000000000e+02	89.0182	0.2
2.030000000000000000e+02	88.9573	0.2
2.040000000000000000e+02	88.8702	0.2
2.050000000000000000e+02	88.7869	0.2
2.060000000000000000e+02	88.6772	0.2
2.070000000000000000e+02	88.374	0.2
2.080000000000000000e+02	87.9859	0.2
2.090000000000000000e+02	87.8168	0.2
2.100000000000000000e+02	88.0424	0.2
2.110000000000000000e+02	88.4137	0.2
2.120000000000000000e+02	88.8204	0.2
2.130000000000000000e+02	89.113	0.2
2.140000000000000000e+02	89.0308	0.2
2.150000000000000000e+02	88.9494	0.2
2.160000000000000000e+02	88.8567	0.2
2.170000000000000000e+02	88.9619	0.2
2.180000000000000000e+02	89.1817	0.2
2.190000000000000000e+02	89.471	0.2
2.200000000000000000e+02	89.4343	0.2
2.210000000000000000e+02	89.3648	0.2
2.220000000000000000e+02	89.2859	0.2
2.230000000000000000e+02	89.2622	0.2
2.240000000000000000e+02	89.3602	0.2
2.250000000000000000e+02	89.5291	0.2
2.260000000000000000e+02	89.4995	0.2
2.270000000000000000e+02	89.429	0.2
2.280000000000000000e+02	89.3055	0.2
2.290000000000000000e+02	89.1107	0.2
2.300000000000000000e+02	88.8498	0.2
2.310000000000000000e+02	88.6099	0.2
2.320000000000000000e+02	88.6128	0.2
2.330000000000000000e+02	88.9957	0.2
2.340000000000000000e+02	89.441	0.2
2.350000000000000000e+02	89.5545	0.2
2.360000000000000000e+02	89.4515	0.2
2.370000000000000000e+02	89.2822	0.2
2.380000000000000000e+02	89.1399	0.2
2.390000000000000000e+02	89.3756	0.2
2.400000000000000000e+02	89.6522	0.2
2.410000000000000000e+02	89.9276	0.2
2.420000000000000000e+02	89.8289	0.2
2.430000000000000000e+02	89.7243	0.2
2.440000000000000000e+02	89.7949	0.2
2.450000000000000000e+02	90.0827	0.2
2.460000000000000000e+02	90.3391	0.2
2.470000000000000000e+02	90.508	0.2
2.480000000000000000e+02	90.4861	0.2
2.490000000000000000e+02	90.4336	0.2
2.500000000000000000e+02	90.4661	0.2
2.510000000000000000e+02	90.513	0.2
2.520000000000000000e+02	90.473	0.2
2.530000000000000000e+02	90.3639	0.2
2.540000000000000000e+02	90.3413	0.2
2.550000000000000000e+02	90.2982	0.2
2.560000000000000000e+02	89.9737	0.2
2.570000000000000000e+02	89.7735	0.2
2.580000000000000000e+02	89.5703	0.2
2.590000000000000000e+02	88.9328	0.2
2.600000000000000000e+02	88.4419	0.2
2.610000000000000000e+02	88.205	0.2
2.620000000000000000e+02	88.1068	0.2
2.630000000000000000e+02	87.9932	0.2
2.640000000000000000e+02	87.8486	0.2
2.650000000000000000e+02	87.6409	0.2
2.660000000000000000e+02	87.3595	0.2
2.670000000000000000e+02	87.167	0.2
2.680000000000000000e+02	86.9769	0.2
2.690000000000000000e+02	86.8224	0.2
2.700000000000000000e+02	86.7659	0.2
2.710000000000000000e+02	86.8482	0.2
2.720000000000000000e+02	87.0051	0.2
2.730000000000000000e+02	87.1251	0.2
2.740000000000000000e+02	87.3704	0.2
2.750000000000000000e+02	87.7077	0.2
2.760000000000000000e+02	88.1403	0.2
2.770000000000000000e+02	88.4501	0.2
2.780000000000000000e+02	88.5648	0.2
