#Depth	Thinning	uncertainty linear 0-1 TEST1
5.950000000000000000e+01	9.800499999999999767e-01	0.0161100196463654
6.050000000000000000e+01	9.796000000000000263e-01	0.0165029469548134
6.150000000000000000e+01	9.791499999999999648e-01	0.0168958742632613
6.250000000000000000e+01	9.787200000000000344e-01	0.0172888015717092
6.350000000000000000e+01	9.782899999999999929e-01	0.0176817288801572
6.450000000000000000e+01	9.778499999999999970e-01	0.0180746561886051
6.550000000000000000e+01	9.774300000000000210e-01	0.018467583497053
6.650000000000000000e+01	9.770100000000000451e-01	0.018860510805501
6.750000000000000000e+01	9.765899999999999581e-01	0.0192534381139489
6.850000000000000000e+01	9.761800000000000477e-01	0.0196463654223969
6.950000000000000000e+01	9.757700000000000262e-01	0.0200392927308448
7.050000000000000000e+01	9.753600000000000048e-01	0.0204322200392927
7.150000000000000000e+01	9.749600000000000488e-01	0.0208251473477407
7.250000000000000000e+01	9.745599999999999818e-01	0.0212180746561886
7.350000000000000000e+01	9.741699999999999804e-01	0.0216110019646366
7.450000000000000000e+01	9.737700000000000244e-01	0.0220039292730845
7.550000000000000000e+01	9.733800000000000230e-01	0.0223968565815324
7.650000000000000000e+01	9.729900000000000215e-01	0.0227897838899804
7.750000000000000000e+01	9.726000000000000201e-01	0.0231827111984283
7.850000000000000000e+01	9.722100000000000186e-01	0.0235756385068762
7.950000000000000000e+01	9.718200000000000172e-01	0.0239685658153242
8.050000000000000000e+01	9.714199999999999502e-01	0.0243614931237721
8.150000000000000000e+01	9.710299999999999487e-01	0.0247544204322201
8.250000000000000000e+01	9.706299999999999928e-01	0.025147347740668
8.350000000000000000e+01	9.702399999999999913e-01	0.0255402750491159
8.450000000000000000e+01	9.698400000000000354e-01	0.0259332023575639
8.550000000000000000e+01	9.694399999999999684e-01	0.0263261296660118
8.650000000000000000e+01	9.690499999999999670e-01	0.0267190569744598
8.750000000000000000e+01	9.686500000000000110e-01	0.0271119842829077
8.850000000000000000e+01	9.682500000000000551e-01	0.0275049115913556
8.950000000000000000e+01	9.678499999999999881e-01	0.0278978388998036
9.050000000000000000e+01	9.674599999999999866e-01	0.0282907662082515
9.150000000000000000e+01	9.670699999999999852e-01	0.0286836935166995
9.250000000000000000e+01	9.666799999999999837e-01	0.0290766208251474
9.350000000000000000e+01	9.662899999999999823e-01	0.0294695481335953
9.450000000000000000e+01	9.658999999999999808e-01	0.0298624754420433
9.550000000000000000e+01	9.655099999999999794e-01	0.0302554027504912
9.650000000000000000e+01	9.651199999999999779e-01	0.0306483300589391
9.750000000000000000e+01	9.647299999999999764e-01	0.0310412573673871
9.850000000000000000e+01	9.643399999999999750e-01	0.031434184675835
9.950000000000000000e+01	9.639400000000000190e-01	0.031827111984283
1.005000000000000000e+02	9.635399999999999521e-01	0.0322200392927309
1.015000000000000000e+02	9.631399999999999961e-01	0.0326129666011788
1.025000000000000000e+02	9.627200000000000202e-01	0.0330058939096268
1.035000000000000000e+02	9.622899999999999787e-01	0.0333988212180747
1.045000000000000000e+02	9.618700000000000028e-01	0.0337917485265226
1.055000000000000000e+02	9.614300000000000068e-01	0.0341846758349706
1.065000000000000000e+02	9.609699999999999909e-01	0.0345776031434185
1.075000000000000000e+02	9.605200000000000404e-01	0.0349705304518664
1.085000000000000000e+02	9.600499999999999590e-01	0.0353634577603144
1.095000000000000000e+02	9.595799999999999885e-01	0.0357563850687623
1.105000000000000000e+02	9.590999999999999526e-01	0.0361493123772102
1.115000000000000000e+02	9.586099999999999621e-01	0.0365422396856582
1.125000000000000000e+02	9.581100000000000172e-01	0.0369351669941061
1.135000000000000000e+02	9.576099999999999612e-01	0.037328094302554
1.145000000000000000e+02	9.571100000000000163e-01	0.037721021611002
1.155000000000000000e+02	9.566000000000000059e-01	0.0381139489194499
1.165000000000000000e+02	9.560899999999999954e-01	0.0385068762278978
1.175000000000000000e+02	9.555900000000000505e-01	0.0388998035363458
1.185000000000000000e+02	9.550800000000000400e-01	0.0392927308447937
1.195000000000000000e+02	9.545700000000000296e-01	0.0396856581532417
1.205000000000000000e+02	9.540800000000000392e-01	0.0400785854616896
1.215000000000000000e+02	9.535799999999999832e-01	0.0404715127701375
1.225000000000000000e+02	9.530899999999999928e-01	0.0408644400785855
1.235000000000000000e+02	9.526099999999999568e-01	0.0412573673870334
1.245000000000000000e+02	9.521300000000000319e-01	0.0416502946954813
1.255000000000000000e+02	9.516599999999999504e-01	0.0420432220039293
1.265000000000000000e+02	9.511899999999999800e-01	0.0424361493123772
1.275000000000000000e+02	9.507299999999999640e-01	0.0428290766208251
1.285000000000000000e+02	9.502699999999999481e-01	0.0432220039292731
1.295000000000000000e+02	9.498100000000000431e-01	0.043614931237721
1.305000000000000000e+02	9.493500000000000272e-01	0.0440078585461689
1.315000000000000000e+02	9.488900000000000112e-01	0.0444007858546169
1.325000000000000000e+02	9.484200000000000408e-01	0.0447937131630648
1.335000000000000000e+02	9.479499999999999593e-01	0.0451866404715127
1.345000000000000000e+02	9.474799999999999889e-01	0.0455795677799607
1.355000000000000000e+02	9.469999999999999529e-01	0.0459724950884086
1.365000000000000000e+02	9.465099999999999625e-01	0.0463654223968566
1.375000000000000000e+02	9.460199999999999720e-01	0.0467583497053045
1.385000000000000000e+02	9.455200000000000271e-01	0.0471512770137524
1.395000000000000000e+02	9.450100000000000167e-01	0.0475442043222004
1.405000000000000000e+02	9.445000000000000062e-01	0.0479371316306483
1.415000000000000000e+02	9.439899999999999958e-01	0.0483300589390962
1.425000000000000000e+02	9.434799999999999853e-01	0.0487229862475442
1.435000000000000000e+02	9.429699999999999749e-01	0.0491159135559921
1.445000000000000000e+02	9.424599999999999644e-01	0.04950884086444
1.455000000000000000e+02	9.419499999999999540e-01	0.049901768172888
1.465000000000000000e+02	9.414500000000000091e-01	0.0502946954813359
1.475000000000000000e+02	9.409499999999999531e-01	0.0506876227897838
1.485000000000000000e+02	9.404599999999999627e-01	0.0510805500982318
1.495000000000000000e+02	9.399800000000000377e-01	0.0514734774066797
1.505000000000000000e+02	9.395000000000000018e-01	0.0518664047151276
1.515000000000000000e+02	9.390399999999999858e-01	0.0522593320235756
1.525000000000000000e+02	9.385799999999999699e-01	0.0526522593320235
1.535000000000000000e+02	9.381199999999999539e-01	0.0530451866404714
1.545000000000000000e+02	9.376700000000000035e-01	0.0534381139489194
1.555000000000000000e+02	9.372200000000000530e-01	0.0538310412573673
1.565000000000000000e+02	9.367699999999999916e-01	0.0542239685658153
1.575000000000000000e+02	9.363099999999999756e-01	0.0546168958742632
1.585000000000000000e+02	9.358600000000000252e-01	0.0550098231827111
1.595000000000000000e+02	9.354099999999999637e-01	0.0554027504911591
1.605000000000000000e+02	9.349499999999999478e-01	0.055795677799607
1.615000000000000000e+02	9.344900000000000428e-01	0.0561886051080549
1.625000000000000000e+02	9.340199999999999614e-01	0.0565815324165029
1.635000000000000000e+02	9.335299999999999709e-01	0.0569744597249508
1.645000000000000000e+02	9.330500000000000460e-01	0.0573673870333987
1.655000000000000000e+02	9.325499999999999901e-01	0.0577603143418467
1.665000000000000000e+02	9.320399999999999796e-01	0.0581532416502946
1.675000000000000000e+02	9.315200000000000147e-01	0.0585461689587425
1.685000000000000000e+02	9.309899999999999842e-01	0.0589390962671905
1.695000000000000000e+02	9.304400000000000448e-01	0.0593320235756384
1.705000000000000000e+02	9.298899999999999944e-01	0.0597249508840863
1.715000000000000000e+02	9.293299999999999894e-01	0.0601178781925343
1.725000000000000000e+02	9.287499999999999645e-01	0.0605108055009822
1.735000000000000000e+02	9.281800000000000050e-01	0.0609037328094301
1.745000000000000000e+02	9.275900000000000256e-01	0.0612966601178781
