#Depth	Accu rate [m/yr]	AICC2012 Uncertainty % = TEST2 bis
7.700000000000000000e+01	5.856619999999999882e-02	0.211582253631723
7.800000000000000000e+01	5.808880000000000293e-02	0.211778563015312
7.900000000000000000e+01	6.649140000000000605e-02	0.2119748723989
8.000000000000000000e+01	6.294320000000000470e-02	0.212171181782489
8.100000000000000000e+01	7.095809999999999618e-02	0.212367491166077
8.200000000000000000e+01	6.505610000000000559e-02	0.212563800549666
8.300000000000000000e+01	7.052769999999999873e-02	0.212760109933254
8.400000000000000000e+01	6.639580000000000481e-02	0.212956419316843
8.500000000000000000e+01	6.819970000000000199e-02	0.213152728700431
8.600000000000000000e+01	6.110650000000000109e-02	0.21334903808402
8.700000000000000000e+01	6.221920000000000228e-02	0.213545347467608
8.800000000000000000e+01	6.169929999999999859e-02	0.213741656851197
8.900000000000000000e+01	7.098999999999999755e-02	0.213937966234785
9.000000000000000000e+01	6.622200000000000308e-02	0.214134275618374
9.100000000000000000e+01	6.989420000000000355e-02	0.214330585001963
9.200000000000000000e+01	6.592530000000000612e-02	0.214526894385551
9.300000000000000000e+01	6.496230000000000060e-02	0.21472320376914
9.400000000000000000e+01	6.401220000000000521e-02	0.214919513152728
9.500000000000000000e+01	6.241290000000000032e-02	0.215115822536317
9.600000000000000000e+01	6.013120000000000270e-02	0.215312131919905
9.700000000000000000e+01	6.675889999999999602e-02	0.215508441303494
9.800000000000000000e+01	6.952569999999999584e-02	0.215704750687082
9.900000000000000000e+01	6.815730000000000399e-02	0.215901060070671
1.000000000000000000e+02	6.770130000000000592e-02	0.216097369454259
1.010000000000000000e+02	6.677510000000000390e-02	0.216293678837848
1.020000000000000000e+02	6.721539999999999460e-02	0.216489988221436
1.030000000000000000e+02	6.331720000000000403e-02	0.216686297605025
1.040000000000000000e+02	6.505779999999999896e-02	0.216882606988613
1.050000000000000000e+02	6.658759999999999679e-02	0.217078916372202
1.060000000000000000e+02	6.779540000000000566e-02	0.21727522575579
1.070000000000000000e+02	6.902200000000000002e-02	0.217471535139379
1.080000000000000000e+02	1.024639999999999995e-01	0.217667844522968
1.090000000000000000e+02	9.460810000000000053e-02	0.217864153906556
1.100000000000000000e+02	7.107549999999999979e-02	0.218060463290145
