#Depth	Thinning	uncertainty %
7.750000000000000000e+01	9.777000000000000135e-01	0.0112122196945076
7.850000000000000000e+01	9.774000000000000465e-01	0.0113747156321092
7.950000000000000000e+01	9.769999999999999796e-01	0.0115372115697107
8.050000000000000000e+01	9.766000000000000236e-01	0.0116997075073123
8.150000000000000000e+01	9.762999999999999456e-01	0.0118622034449139
8.250000000000000000e+01	9.758999999999999897e-01	0.0120246993825154
8.350000000000000000e+01	9.755000000000000338e-01	0.012187195320117
8.450000000000000000e+01	9.750999999999999668e-01	0.0123496912577185
8.550000000000000000e+01	9.747999999999999998e-01	0.0125121871953201
8.650000000000000000e+01	9.744000000000000439e-01	0.0126746831329217
8.750000000000000000e+01	9.739999999999999769e-01	0.0128371790705232
8.850000000000000000e+01	9.737000000000000099e-01	0.0129996750081248
8.950000000000000000e+01	9.733000000000000540e-01	0.0131621709457263
9.050000000000000000e+01	9.728999999999999870e-01	0.0133246668833279
9.150000000000000000e+01	9.725000000000000311e-01	0.0134871628209295
9.250000000000000000e+01	9.720999999999999641e-01	0.013649658758531
9.350000000000000000e+01	9.717999999999999972e-01	0.0138121546961326
9.450000000000000000e+01	9.714000000000000412e-01	0.0139746506337341
9.550000000000000000e+01	9.709999999999999742e-01	0.0141371465713357
9.650000000000000000e+01	9.706000000000000183e-01	0.0142996425089373
9.750000000000000000e+01	9.703000000000000513e-01	0.0144621384465388
9.850000000000000000e+01	9.698999999999999844e-01	0.0146246343841404
9.950000000000000000e+01	9.695000000000000284e-01	0.0147871303217419
1.005000000000000000e+02	9.690999999999999615e-01	0.0149496262593435
1.015000000000000000e+02	9.687000000000000055e-01	0.015112122196945
1.025000000000000000e+02	9.683000000000000496e-01	0.0152746181345466
1.035000000000000000e+02	9.679999999999999716e-01	0.0154371140721482
1.045000000000000000e+02	9.676000000000000156e-01	0.0155996100097497
1.055000000000000000e+02	9.671999999999999487e-01	0.0157621059473513
1.065000000000000000e+02	9.667999999999999927e-01	0.0159246018849528
1.075000000000000000e+02	9.664000000000000368e-01	0.0160870978225544
1.085000000000000000e+02	9.659999999999999698e-01	0.016249593760156
1.095000000000000000e+02	9.656000000000000139e-01	0.0164120896977575
1.105000000000000000e+02	9.653000000000000469e-01	0.0165745856353591
1.115000000000000000e+02	9.648999999999999799e-01	0.0167370815729607
1.125000000000000000e+02	9.645000000000000240e-01	0.0168995775105622
1.135000000000000000e+02	9.640999999999999570e-01	0.0170620734481638
1.145000000000000000e+02	9.637000000000000011e-01	0.0172245693857653
1.155000000000000000e+02	9.633000000000000451e-01	0.0173870653233669
1.165000000000000000e+02	9.628999999999999782e-01	0.0175495612609685
1.175000000000000000e+02	9.625000000000000222e-01	0.01771205719857
1.185000000000000000e+02	9.622000000000000552e-01	0.0178745531361716
1.195000000000000000e+02	9.617999999999999883e-01	0.0180370490737731
1.205000000000000000e+02	9.614000000000000323e-01	0.0181995450113747
1.215000000000000000e+02	9.609999999999999654e-01	0.0183620409489763
1.225000000000000000e+02	9.606000000000000094e-01	0.0185245368865778
1.235000000000000000e+02	9.602000000000000535e-01	0.0186870328241794
1.245000000000000000e+02	9.597999999999999865e-01	0.0188495287617809
1.255000000000000000e+02	9.594000000000000306e-01	0.0190120246993825
1.265000000000000000e+02	9.589999999999999636e-01	0.0191745206369841
1.275000000000000000e+02	9.586000000000000076e-01	0.0193370165745856
1.285000000000000000e+02	9.582000000000000517e-01	0.0194995125121872
